store,address,lat,lng
순천법원점,전남 순천시 왕지5길 11,34.9722003,127.5236029
청주강서점,충북 청주시 흥덕구 서현중로35 1층,36.6217029,127.4290821
부산정관점,부산광역시 기장군 정관읍 정관로 395 (모전리) 102호,35.3341599,129.1660003
성가롤로병원점,전라남도 순천시 순광로 221,34.9647334,127.5437074
진영이진점,경상남도 김해시 진영읍 진산대로 63-11 (진영리) 1층,35.3120842,128.7262093
경산사동사랑점,경상북도 경산시 백자로 71 (사동) 1층,35.8123622,128.7549013
경주중앙점,경상북도 경주시 중앙로 49 (동부동) 1층,35.8443098,129.2114484
순천신대점,전남 순천시 해룡면 향매로 77 1층,34.9339769,127.5477995
카페노원역점,서울특별시 노원구 노해로79길 6-19 1,37.6554909,127.0624641
경주충효서라벌중앙점,경상북도 경주시 충효중앙길 57 (충효동) 1층,35.8432444,129.1845569
동탄목동점,경기도 화성시 동탄순환대로 400 (목동) 1층,37.1829648,127.1231421
합정메세나점,"서울특별시 마포구 양화로 45 (서교동,메세나폴리스) 지하 1층 173, 115호",37.5510463,126.9137390
의정부고산점,"경기도 의정부시 수암로 4 현대타워 101,102호",37.7285400,127.1107629
울산전하동점,울산광역시 동구 진성14길 114 (전하동) 1층,35.5106607,129.4261870
운정건강공원점,"경기도 파주시 가온로 116 (목동동) 1층 103호, 104호",37.7205664,126.7454550
대전관저센터점,대전 서구 관저북로 53 1층,36.3066399,127.3368325
진해용원점,"경상남도 창원시 진해구 용원로 9 (용원동,엠파이어)",35.1006632,128.8105390
김천부곡센트럴점,"경상북도 김천시 부곡길 201 (부곡동) 경북 김천시 부곡길 2011층 102호,103",36.1258358,128.0993120
김포마산점,"경기도 김포시 김포한강8로 173-59 (마산동,E편한세상한강신도시2차) 113,114,1",37.6362250,126.6391621
제주김녕하나로점,제주특별자치도 제주시 구좌읍 김송로 14 (김녕리) 하나로마트 1층,33.5489487,126.7520054
독산지식산업센타점,"서울특별시 금천구 두산로 70 (독산동,현대지식산업센터) L층 TL-110호",37.4689627,126.8956207
뱅뱅사거리점,"서울특별시 강남구 도곡로 112 (도곡동,서한빌딩) 101호",37.4896623,127.0328546
권선아이파크점,"경기도 수원시 권선구 동수원로145번길 24 (권선동,수원아이파크시티2단지) 1층",37.2451197,127.0294582
아산둔포농협하나로마트점,충청남도 아산시 둔포면 둔포중앙로 136 (둔포리) 둔포농협하나로마트,36.9284850,127.0378750
청주가마지구점,충청북도 청주시 서원구 남이면 청남로 1827-32 (가마리) 1층,36.5991013,127.4702147
종로구청점,서울특별시 종로구 종로5길 34 (청진동) 1층,37.5718165,126.9806331
당진수청점,충남 당진시 수청동 1393 1층,36.8880375,126.6520941
카페안산중앙점,"경기도 안산시 단원구 고잔로 76 (고잔동,영풍빌딩) 영풍맘모스프라자 1층(123호,124호",37.3189133,126.8348265
아현역점,"서울특별시 서대문구 신촌로35길 10 (북아현동,e편한세상신촌4단지) B1",37.5586219,126.9558605
포항성모병원점,"경상북도 포항시 남구 대잠동길 17 (대잠동,포항성모병원) 외래동 1층",36.0159003,129.3399527
창원메트로시티점,"경상남도 창원시 마산회원구 삼호로 80 (양덕동,메트로시티2단지) 210동 114호",35.2254724,128.5857339
김포청송점,"경기도 김포시 김포한강2로 361 (장기동,호반베르디움6차더퍼스트)",37.6525764,126.6701365
인천남촌점,인천광역시 남동구 남촌동로3번길 36 (남촌동) 1층,37.4313844,126.7159505
서산코아루점,충청남도 서산시 고운로 275-6 (동문동) 1층,36.7849254,126.4659757
부산동아대병원점,부산광역시 서구 대신공원로26 구덕2관 2층,35.1201682,129.0175391
부산학장본점점,부산광역시 사상구 학감대로 111 (학장동) 1층,35.1408948,128.9876525
목동사거리점,서울특별시 강서구 곰달래로 245 (화곡동) 1층,37.5321311,126.8602528
대구다사점,"대구달서구 달성군 다사읍 다사로 71 금호어울림 센트럴 상가 202동 B104호, B105호",,
거제유로스카이점,경상남도 거제시 고현항2로 51,34.8961143,128.6216709
브레드캐스트점,"서울특별시 마포구 상암산로 66 (상암동,CJ E&M CENTER) 1층, 지하1층",37.5783960,126.8915221
안동정하점,경상북도 안동시 강남5길 39 (정하동) 1층,36.5504288,128.7339935
세종반곡점,"세종특별자치시  한누리대로 1864 (반곡동,수루배마을1단지근린생활시설) 단지내상가 109",36.4982602,127.3086369
동탄성심병원점,경기도 화성시 큰재봉길 7 (석우동) 한림대학교동탄성심병원,37.2166284,127.0801288
인천귤현점,인천시 계양구 양지로 139,37.5669788,126.7484285
인천숭의점,인천광역시 미추홀구 인주대로45번길 44 (숭의동) 1층,37.4611078,126.6444491
양주고읍중앙점,"경기도 양주시 고읍남로 1 (광사동,힘찬프라자) 1층",37.7956411,127.0810221
하남신장점,경기도 하남시 더우개로 29 1층,37.5410007,127.2209200
청주오창센트럴파크점,충북 청주시 청원구 오창공원로96 한신더휴 상가,36.7129423,127.4224550
충북금왕중앙점,충청북도 음성군 금왕읍 무극로 224,36.9910643,127.5867557
